Time (s)	Magnetic Field x (uT)	Magnetic Field y (uT)	Magnetic Field z (uT)	Absolute field (uT)
15.74055929	-5.515228271	-71.9329834	-402.5007629	408.9151942
15.75046829	-5.744354248	-71.79121399	-402.8582764	409.2453626
15.76037829	-5.0493927	-71.4541626	-401.7347717	408.0710974
15.77028729	-5.796142578	-71.59434509	-403.0213623	409.3721583
15.78019629	-5.55355835	-71.77354431	-401.5037231	407.9062679
15.79010629	-5.252807617	-71.49562073	-402.6665649	408.998262
15.80001529	-5.934143066	-71.67376709	-402.4250488	408.8010064
15.80992529	-5.320541382	-71.70629883	-402.0381165	408.4173705
15.81983429	-5.93888855	-71.70053101	-402.3574219	408.7391974
15.82974429	-5.253646851	-71.71565247	-401.8147888	408.1983098
15.83965329	-5.045776367	-71.53004456	-402.401062	408.7402865
15.84956229	-6.010131836	-71.50494385	-401.988678	408.3429636
15.85946829	-5.184967041	-71.83375549	-401.8514709	408.2543043
15.86937629	-5.675979614	-71.79408264	-402.6517944	409.0416539
15.87928429	-5.507644653	-71.48522949	-401.7686768	408.1158436
15.88919329	-5.366867065	-71.36013794	-401.9086914	408.2299215
15.89910229	-5.752609253	-71.41017151	-402.1134338	408.4454906
15.90901129	-5.449752808	-71.41096497	-402.1174927	408.4454721
15.91891929	-6.051559448	-71.33544922	-402.7495422	409.0630287
15.92882729	-5.742828369	-71.77081299	-402.0006104	408.3975029
15.93873629	-5.359603882	-71.35325623	-402.7344971	409.0416698
15.94864529	-5.778305054	-71.40733337	-401.983551	408.3174884
15.95855329	-5.368240356	-71.48565674	-402.7688599	409.0987309
15.96846029	-5.900665283	-71.55322266	-402.4260559	408.7803958
15.97836829	-5.560150146	-71.87564087	-401.9553223	408.3688334
15.98827729	-5.542984009	-71.55932617	-402.6385803	408.9856821
15.99818629	-5.379547119	-71.71418762	-402.3551025	408.7315657
16.00809429	-5.153686523	-71.76449585	-402.4387817	408.8198581
16.01800329	-5.793746948	-71.42141724	-402.802948	409.1268767
16.02791329	-5.532546997	-71.43844604	-402.0217896	408.357172
16.03782229	-5.690856934	-71.5745697	-403.096283	409.4409826
