Time (s)	Magnetic Field x (uT)	Magnetic Field y (uT)	Magnetic Field z (uT)	Absolute field (uT)
4.309923792	6.084152222	-80.10368347	-395.8745728	403.9434297
4.319833792	1.624847412	-83.56077576	-387.9699707	396.8699303
4.329744792	11.82144165	-78.87916565	-394.2938232	402.2801117
4.339653792	-2.964706421	-84.23168945	-392.8879395	401.8267039
4.349564792	9.518814087	-81.24241638	-391.3743896	399.831028
4.359473792	5.42137146	-80.09443665	-395.3297119	403.3981794
4.369383792	3.305877686	-83.50918579	-388.9674072	397.8446391
4.379291792	10.28765869	-79.03590393	-394.5102539	402.4808697
4.389202792	-2.389526367	-84.07194519	-392.8670959	401.7690343
4.399112792	10.5065155	-81.14660645	-390.0136414	398.504453
4.409020792	4.476196289	-79.63623047	-395.3595886	403.3251416
4.418925792	4.181610107	-83.65396118	-387.9459229	396.8847568
4.428833792	9.73815918	-78.61787415	-396.2203979	404.0621309
4.438738792	-1.986526489	-83.63330078	-390.8807373	399.7326933
4.448644792	12.43591309	-80.48086548	-392.2234192	400.5883575
4.458550792	3.475921631	-80.26643372	-393.8027954	401.9146975
4.468459792	4.995681763	-83.4654541	-389.0823975	397.9655147
4.478367792	8.771286011	-78.83232117	-394.8856201	402.7730419
4.488275792	-1.337432861	-83.20802307	-390.9206543	399.6802745
4.498184792	13.50906372	-80.12461853	-390.3648682	398.7319646
4.508093792	1.605865479	-80.91017151	-394.02771	402.2522478
4.518002792	5.717788696	-83.1836853	-388.5009766	397.3477412
4.527910792	7.623748779	-79.51391602	-396.4676514	404.4343988
4.537819792	-0.345550537	-83.3132019	-388.6770325	397.5060309
4.547727792	13.67443848	-79.91947937	-392.6650391	400.9488076
4.557636792	1.017929077	-81.66656494	-393.8181763	402.197986
4.567545792	5.725585938	-82.8560791	-389.833374	398.5824528
4.577454792	7.146179199	-79.72451782	-396.5643921	404.5619652
4.587363792	0.124694824	-83.51763916	-389.0374146	397.9011454
4.597271792	13.62286377	-79.38058472	-392.2580566	400.4413099
4.607180792	-1.333572388	-83.24842834	-393.8495789	402.5538101
4.617090792	7.461151123	-82.26626587	-390.3602905	399.0044658
4.627000792	6.341964722	-80.21673584	-395.9127808	404.0072712
4.636910792	1.855926514	-83.38542175	-388.6605835	397.5092731
4.646818792	11.8611908	-79.3132019	-393.7542114	401.8378415
4.656726792	-1.23664856	-83.55535889	-393.6156616	402.3882657
4.666634792	8.147674561	-82.1289978	-389.9396973	398.5781283
4.676543792	5.755645752	-80.24325562	-395.6618042	403.7578121
4.686452792	2.652114868	-84.26283264	-387.793457	396.8513878
4.696361792	11.37306213	-78.36309814	-394.5462036	402.4137528
4.706271792	-2.92124939	-84.02949524	-392.410553	401.3172459
4.716182792	9.839523315	-81.69744873	-391.9544067	400.4991215
4.726093792	4.733612061	-79.7278595	-394.236145	402.2450456
4.73600375	3.539749146	-83.79945374	-388.6017456	397.5502421
4.74591375	10.18565369	-78.83158875	-395.2280273	403.1418615
4.75582275	-2.43321228	-83.52684021	-392.8540039	401.642779
4.76573275	11.50517273	-81.10177612	-389.9307861	398.4418214
4.77564175	3.916748047	-79.8812561	-394.807251	402.826416
4.78555275	4.908843994	-83.30111694	-388.5493164	397.4087872
4.79546275	9.301879883	-79.10310364	-396.4733276	404.3945172
4.80537175	-1.74382019	-83.0773468	-390.0336914	398.7871198
4.81528075	13.19932556	-80.66172791	-391.8872375	400.3200513
4.82518975	3.24395752	-80.49732971	-394.3360596	402.4813924
4.83509875	4.937683105	-83.41140747	-389.4640808	398.3266422
4.84500775	8.840606689	-79.62161255	-396.335022	404.350352
4.85491775	-1.147598267	-83.03926086	-390.8110352	399.5373587
4.86482675	14.4005127	-79.86988831	-391.7726746	400.0904927
4.87473575	0.880218506	-82.12478638	-394.0492554	402.5171686
4.88464375	5.995361328	-82.7908783	-389.5361938	398.2822118
4.89455175	7.668701172	-80.06306458	-396.3416138	404.4200515
4.90445975	0.301879883	-83.20684814	-390.0123901	398.7895876
4.91436775	12.79058838	-79.82423401	-393.0584106	401.28596
4.92427575	0.543319702	-82.20671082	-394.4474487	402.9231047
4.93418475	6.48034668	-82.82377625	-390.4560547	399.1963219
4.94409375	6.815734863	-79.98648071	-396.6526489	404.6944715
4.95400175	0.690368652	-84.45523071	-388.1106567	397.1939633
4.96391075	13.1121521	-78.88566589	-393.4196777	401.4647178
4.97382075	-1.801055908	-83.54847717	-393.4927368	402.2687233
4.98372975	7.488540649	-82.4715271	-391.1928711	399.8618429
4.99363975	5.855560303	-79.99594116	-395.4802856	403.532272
5.00354975	2.196609497	-84.2403717	-388.7826538	397.8105293
5.01345875	11.49819946	-79.00318909	-393.2350159	401.2573865
5.02336875	-2.60824585	-83.58842468	-394.1004944	402.8759454
5.03327775	9.020629883	-82.22418213	-390.0445557	398.7191283
5.04318775	4.855865479	-79.50875854	-395.7385864	403.6759231
5.05309675	3.143264771	-83.92092896	-388.1831665	397.1634087
5.06300575	10.56997681	-79.24043274	-395.3632202	403.3644091
5.07291475	-3.13117981	-83.72485352	-391.9925537	400.8463765
